artiste,element,genre,style,source,stream,date,spotify,cover,discogs,etat,match,titleDiscogs
"Do think make say","Stubborn Persistent Illusions","Rock","Post Rock","https://domakesaythink.bandcamp.com/album/stubborn-persistent-illusions","","X","spotify:album:60DcacKwngrdj2UJI4Jo6n","https://img.discogs.com/NoPjGNhOgsO8COn6Pfv_h4g4ijY=/fit-in/600x592/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-10308005-1499870761-1679.jpeg.jpg","https://www.discogs.com//Do-Make-Say-Think-Stubborn-Persistent-Illusions/master/1181559","3","0.8775510204081632","Do Make Say Think - Stubborn Persistent Illusions"
"Beak>",">>>","Electronic, Rock","Krautrock, Experimental","http://fp.nightfall.fr/index_12395_beak-.html","","X","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","https://img.discogs.com/RlSBMigU6cVxH5xEN6cGqYHk9ac=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12549703-1602142641-5627.jpeg.jpg","https://www.discogs.com//Beak-/master/1426818","3","1.0","Beak> - >>>"
"Guðveiki","Vængför","Metal","Black Metal, Death Metal","","https://gudveiki.bandcamp.com/album/v-ngf-r","X","","https://img.discogs.com/3jTOUUmBGqoVEpGZU2EYVpbQLrA=/fit-in/600x576/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13282688-1554828353-6866.jpeg.jpg","https://www.discogs.com//Gu%C3%B0veiki-V%C3%A6ngf%C3%B6r/master/1509421","3","1.0","Guðveiki - Vængför"
"Christoph de Babalon","Exquisite Angst","Electronic","Dark Ambient, Breakcore","","https://christophdebabalon.bandcamp.com/album/exquisite-angst","X","","https://img.discogs.com/KEAEeQmicSjKVYI7X59vsJAxyx4=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12895354-1544034384-1742.jpeg.jpg","https://www.discogs.com//Christoph-De-Babalon-Exquisite-Angst/master/1487468","3","1.0","Christoph De Babalon - Exquisite Angst"
"CANTIQUE LÉPREUX","Paysages Polaires","Metal","Black Metal, Atmospheric Black Metal","","https://cantiquelepreux.bandcamp.com/album/paysages-polaires","X","spotify:album:3XOT04cmWCoTF5N3JsKAE6","https://img.discogs.com/0DhhjOVNj68iDjg7cmQ81c8TD7s=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12845140-1547416405-6154.jpeg.jpg","https://www.discogs.com//Cantique-L%C3%A9preux-Paysages-Polaires/master/1459070","3","1.0","Cantique Lépreux - Paysages Polaires"
"自決 9 6","->","Electronic","Vaporwave","","https://jiketsu96.bandcamp.com/album/--2","X","spotify:album:3gh0mcmtWtal9XIobXWd3o","https://img.discogs.com/B_u5t_cmdaXu5lnIa0DqJ1NRoXc=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7975492-1452827357-7673.jpeg.jpg","https://www.discogs.com//%E8%87%AA%E6%B1%BA-9-6-%E6%9D%91/release/12393429","3","0.8571428571428571","自決 9 6 - 村"
"Les deux minutes de la haine","Somnolences","Punk#TODO","Screamo#TODO","","https://lesdeuxminutesdelahaine.bandcamp.com/album/somnolences","XA","","","","3","0",""
"Jungbluth","Lovecult","Punk","Post-Hardcore, Post Rock, Hardcore","","https://jungbluth.bandcamp.com/album/lovecult","X","","https://img.discogs.com/UAWQO-5J2X8j9ckj0etU7ApaZAE=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7324891-1438932778-2890.jpeg.jpg","https://www.discogs.com//Jungbluth-Lovecult/master/869072","3","1.0","Jungbluth - Lovecult"
"Flora","The Bottom","Jazz","","","https://floraband.bandcamp.com/album/the-bottom","X","spotify:album:4kXTYoIsPlnt8qKTWrJa6k","https://img.discogs.com/sd_gps2O_rI-qlAkHussmgSp2wk=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-20204023-1631439180-6319.jpeg.jpg","https://www.discogs.com//Various-Bottom-Lines/release/13628398","3","0.5","Various - Bottom Lines"
"Arms Of Ra","Cure","Metal","Sludge Metal, Post-Hardcore, Hardcore, Doom Metal, Noise","http://www.eklektik-rock.com/2016/03/arms-of-ra-cure/","https://armsofra.bandcamp.com/","","spotify:album:6dNItyXwCWHhJGacgAO0yE","https://img.discogs.com/ugpdTOpX-PzvPcJh833QmSRV-g8=/fit-in/600x937/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-18166612-1620454509-2082.jpeg.jpg","https://www.discogs.com//Arms-Of-Ra-Cure/release/8199890","3","1.0","Arms Of Ra - Cure"
"Eli Wallace","Eli Wallace - Barriers","Jazz","Free Improvisation","","https://eschatologyrecords.bandcamp.com/album/eli-wallace-barriers","X","","https://img.discogs.com/1BoJNLF6BPGd5lW6zyHtCz294wE=/fit-in/600x604/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13341655-1633913235-7357.jpeg.jpg","https://www.discogs.com//Eli-Wallace-Barriers/release/13341655","3","0.7586206896551724","Eli Wallace - Barriers"
